,stock_name,stock_code
0,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250.KL
1,ABF MALAYSIA BOND INDEX FUND,0800EA.KL
2,ABLE GLOBAL BERHAD,7167.KL
3,ABLEGROUP BERHAD,7086.KL
4,ABM FUJIYA BERHAD,5198.KL
5,ACE INNOVATE ASIA BERHAD,03028.KL
6,ACME HOLDINGS BERHAD,7131.KL
7,ACO GROUP BERHAD,0218.KL
8,ADVANCE INFORMATION MARKETING BERHAD,0122.KL
9,ADVANCE SYNERGY BERHAD,1481.KL
10,ADVANCECON HOLDINGS BERHAD,5281.KL
11,ADVANCED PACKAGING TECHNOLOGY (M) BHD,9148.KL
12,ADVENTA BERHAD,7191.KL
13,AE MULTI HOLDINGS BERHAD,7146.KL
14,AEMULUS HOLDINGS BERHAD,0181.KL
15,AEON CO. (M) BHD,6599.KL
16,AEON CREDIT SERVICE (M) BERHAD,5139.KL
17,AFFIN BANK BERHAD,5185.KL
18,AGESON BERHAD,7145.KL
19,AHB HOLDINGS BERHAD,7315.KL
20,AHMAD ZAKI RESOURCES BERHAD,7078.KL
21,AIMFLEX BERHAD,0209.KL
22,AIRASIA X BERHAD,5238.KL
23,AJINOMOTO (MALAYSIA) BERHAD,2658.KL
24,AJIYA BERHAD,7609.KL
25,AL-`AQAR HEALTHCARE REIT,5116.KL
26,ALAM MARITIM RESOURCES BERHAD,5115.KL
27,ALCOM GROUP BERHAD,2674.KL
28,ALDRICH RESOURCES BERHAD,0079.KL
29,ALLIANCE BANK MALAYSIA BERHAD,2488.KL
30,ALLIANZ MALAYSIA BERHAD,1163.KL
31,ALPHA OCEAN RESOURCES BERHAD,03051.KL
32,AL-SALAM REAL ESTATE INVESTMENT TRUST,5269.KL
33,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,5127.KL
34,AME ELITE CONSORTIUM BERHAD,5293.KL
35,AMFIRST REAL ESTATE INVESTMENT TRUST,5120.KL
36,AMLEX HOLDINGS BERHAD,03011.KL
37,AMMB HOLDINGS BERHAD,1015.KL
38,AMTEL HOLDINGS BERHAD,7031.KL
39,AMWAY (MALAYSIA) HOLDINGS BERHAD,6351.KL
40,ANALABS RESOURCES BERHAD,7083.KL
41,ANCOM LOGISTICS BERHAD,0048.KL
42,ANCOM NYLEX BERHAD,4758.KL
43,ANEKA JARINGAN HOLDINGS BERHAD,0226.KL
44,ANN JOO RESOURCES BERHAD,6556.KL
45,ANNUM BERHAD,5082.KL
46,ANZO HOLDINGS BERHAD,9342.KL
47,APB RESOURCES BERHAD,5568.KL
48,APEX EQUITY HOLDINGS BERHAD,5088.KL
49,APEX HEALTHCARE BERHAD,7090.KL
50,APM AUTOMOTIVE HOLDINGS BERHAD,5015.KL
51,APOLLO FOOD HOLDINGS BERHAD,6432.KL
52,APPASIA BERHAD,0119.KL
53,A-RANK BERHAD,7214.KL
54,ARB BERHAD,7181.KL
55,ARK RESOURCES HOLDINGS BERHAD,7007.KL
56,ARTRONIQ BERHAD,0038.KL
57,ASDION BERHAD,0068.KL
58,ASIA BRANDS BERHAD,7722.KL
59,ASIA FILE CORPORATION BHD,7129.KL
60,ASIA MEDIA GROUP BERHAD,0159.KL
61,ASIA POLY HOLDINGS BERHAD,0105.KL
62,ASIAN PAC HOLDINGS BERHAD,4057.KL
63,ASTINO BERHAD,7162.KL
64,ASTRAL ASIA BERHAD,7054.KL
65,ASTRAMINA GROUP BERHAD,03032.KL
66,ASTRO MALAYSIA HOLDINGS BERHAD,6399.KL
67,AT SYSTEMATIZATION BERHAD,0072.KL
68,ATA IMS BERHAD,8176.KL
69,ATLAN HOLDINGS BHD,7048.KL
70,ATRIUM REAL ESTATE INVESTMENT TRUST,5130.KL
71,ATTA GLOBAL GROUP BERHAD,7099.KL
72,AURELIUS TECHNOLOGIES BERHAD,5302.KL
73,AURORA ITALIA INTERNATIONAL BERHAD,03037.KL
74,AVILLION BERHAD,8885.KL
75,AWANBIRU TECHNOLOGY BERHAD,5204.KL
76,AWC BERHAD,7579.KL
77,AXIATA GROUP BERHAD,6888.KL
78,AXIS REAL ESTATE INVESTMENT TRUST,5106.KL
79,AXTERIA GROUP BERHAD,7120.KL
80,AYER HOLDINGS BERHAD,2305.KL
81,AYS VENTURES BERHAD,5021.KL
82,B.I.G. INDUSTRIES BERHAD,7005.KL
83,BABA ECO GROUP BERHAD,03012.KL
84,BAHVEST RESOURCES BERHAD,0098.KL
85,BANK ISLAM MALAYSIA BERHAD,5258.KL
86,BARAKAH OFFSHORE PETROLEUM BERHAD,7251.KL
87,BATU KAWAN BERHAD,1899.KL
88,BCB BERHAD,6602.KL
89,BCM ALLIANCE BERHAD,0187.KL
90,BENALEC HOLDINGS BERHAD,5190.KL
91,BERJAYA ASSETS BERHAD,3239.KL
92,BERJAYA CORPORATION BERHAD,3395.KL
93,BERJAYA FOOD BERHAD,5196.KL
94,BERJAYA LAND BERHAD,4219.KL
95,BERMAZ AUTO BERHAD,5248.KL
96,BERTAM ALLIANCE BERHAD,9814.KL
97,BESHOM HOLDINGS BERHAD,7668.KL
98,BINA DARULAMAN BERHAD,6173.KL
99,BINA PURI HOLDINGS BHD,5932.KL
100,BINASAT COMMUNICATIONS BERHAD,0195.KL
101,BINTAI KINDEN CORPORATION BERHAD,6998.KL
102,BINTULU PORT HOLDINGS BERHAD,5032.KL
103,BIOALPHA HOLDINGS BERHAD,0179.KL
104,BLD PLANTATION BHD.,5069.KL
105,BOILERMECH HOLDINGS BERHAD,0168.KL
106,BONIA CORPORATION BERHAD,9288.KL
107,BORNEO OIL BERHAD,7036.KL
108,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,8133.KL
109,BOUSTEAD HOLDINGS BERHAD,2771.KL
110,BOUSTEAD PLANTATIONS BERHAD,5254.KL
111,BOX-PAK (MALAYSIA) BERHAD,6297.KL
112,BP PLASTICS HOLDING BHD,5100.KL
113,BRIGHT PACKAGING INDUSTRY BERHAD,9938.KL
114,BRITE-TECH BERHAD,0011.KL
115,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,4162.KL
116,BSL CORPORATION BERHAD,7221.KL
117,BTM RESOURCES BERHAD,7188.KL
118,BUMI ARMADA BERHAD,5210.KL
119,BURSA MALAYSIA BERHAD,1818.KL
120,BV LAND HOLDINGS BERHAD,03042.KL
121,C.I. HOLDINGS BERHAD,2828.KL
122,CAB CAKARAN CORPORATION BERHAD,7174.KL
123,CABNET HOLDINGS BERHAD,0191.KL
124,CAELY HOLDINGS BHD,7154.KL
125,CAHYA MATA SARAWAK BERHAD,2852.KL
126,CAM RESOURCES BERHAD,7128.KL
127,CAN-ONE BERHAD,5105.KL
128,CAPITAL A BERHAD,5099.KL
129,CAPITALAND MALAYSIA TRUST,5180.KL
130,CAREPLUS GROUP BERHAD,0163.KL
131,CARIMIN PETROLEUM BERHAD,5257.KL
132,CARLSBERG BREWERY MALAYSIA BERHAD,2836.KL
133,CARZO HOLDINGS BERHAD,03048.KL
134,CATCHA DIGITAL BERHAD,0173.KL
135,CB INDUSTRIAL PRODUCT HOLDING BERHAD,7076.KL
136,CCK CONSOLIDATED HOLDINGS BERHAD,7035.KL
137,CE TECHNOLOGY BERHAD,03024.KL
138,CEKD BERHAD,0238.KL
139,CENGILD MEDICAL BERHAD,0243.KL
140,CENSOF HOLDINGS BERHAD,5195.KL
141,CENTRAL GLOBAL BERHAD,8052.KL
142,CEPATWAWASAN GROUP BERHAD,8982.KL
143,CHEETAH HOLDINGS BERHAD,7209.KL
144,CHIN HIN GROUP BERHAD,5273.KL
145,CHIN HIN GROUP PROPERTY BERHAD,7187.KL
146,CHIN TECK PLANTATIONS BERHAD,1929.KL
147,CHIN WELL HOLDINGS BERHAD,5007.KL
