,EPS,DPS,NTA,Revenue,P/L,Quarter,Q Date,Financial Year,Announced,ROE,Stock Code,Year
0,1.21,0.000,0.1106,988.21m,13.66m,3,2022-09-30,2022-12-31,2022-11-29,10.9%,5250,2022
1,2.29,0.000,0.0984,943.67m,25.77m,2,2022-06-30,2022-12-31,2022-08-25,23.3%,5250,2022
2,2.16,0.000,0.1015,839.98m,24.38m,1,2022-03-31,2022-12-31,2022-05-26,21.3%,5250,2022
3,2.60,0.000,0.0799,795.06m,29.24m,4,2021-12-31,2021-12-31,2022-02-24,32.5%,5250,2021
4,0.13,0.000,0.0522,680.22m,1.44m,3,2021-09-30,2021-12-31,2021-11-25,2.5%,5250,2021
5,0.10,0.000,0.0509,676.67m,1.12m,2,2021-06-30,2021-12-31,2021-08-26,2.0%,5250,2021
6,1.03,0.000,0.0687,657.13m,11.69m,1,2021-03-31,2021-12-31,2021-05-27,15.0%,5250,2021
7,0.39,0.000,0.0591,591.42m,4.44m,4,2020-12-31,2020-12-31,2021-02-26,6.6%,5250,2020
8,1.13,0.000,0.0743,677.12m,12.92m,3,2020-09-30,2020-12-31,2020-11-25,15.2%,5250,2020
9,0.09,0.000,0.0720,649.73m,1.03m,2,2020-06-30,2020-12-31,2020-08-26,1.3%,5250,2020
10,0.99,0.000,0.0985,619.29m,11.37m,1,2020-03-31,2020-12-31,2020-05-28,10.1%,5250,2020
11,0.99,0.000,0.0893,592.73m,11.35m,4,2019-12-31,2019-12-31,2020-02-27,11.1%,5250,2019
12,1.48,0.000,0.0792,594.16m,16.98m,3,2019-09-30,2019-12-31,2019-11-25,18.7%,5250,2019
13,1.28,0.000,0.0648,588.78m,14.59m,2,2019-06-30,2019-12-31,2019-08-27,19.8%,5250,2019
14,0.99,0.000,0.0765,583.73m,11.15m,1,2019-03-31,2019-12-31,2019-05-29,12.9%,5250,2019
15,1.11,0.000,0.0822,554.26m,12.49m,4,2018-12-31,2018-12-31,2019-02-26,13.5%,5250,2018
16,1.48,0.000,0.0739,568.52m,16.76m,3,2018-09-30,2018-12-31,2018-11-30,20.0%,5250,2018
17,1.17,0.000,0.0592,557.63m,13.13m,2,2018-06-30,2018-12-31,2018-08-29,19.8%,5250,2018
