stock_code,pcf,div_5year_growth
5250,9.620,3.211
0800EA,0,0
7167,9.116,27.226
7086,122.935,0.000
5198,8.190,0.000
03028,140.386,0.000
7131,16.888,0.000
0218,9.385,0.000
0122,66.631,0.000
1481,30.101,-9.740
5281,4.439,0.000
9148,132.426,-12.945
7191,10.253,0.000
7146,3.512,0.000
0181,15.128,0.000
6599,3.448,0.000
5139,7.396,0.704
5185,6.932,-15.218
7145,0.842,0.000
7315,8.766,0.000
7078,3.559,-9.532
0209,38.395,0.000
5238,3.925,0.000
2658,21.665,-27.350
7609,13.681,5.922
5116,13.165,0.258
5115,3.179,0.000
2674,3.054,0.000
0079,0.000,0.000
2488,7.983,2.946
1163,5.961,47.577
03051,221.586,0.000
5269,74.727,-2.422
5127,11.127,-3.622
5293,14.583,0.000
5120,43.164,-5.747
03011,7.077,0.000
1015,7.049,-22.252
7031,23.425,0.000
6351,16.972,0.000
7083,4.134,4.240
0048,19.144,0.000
4758,16.815,0.000
0226,4.588,0.000
6556,2.600,5.922
5082,1.044,0.000
9342,146.326,0.000
5568,15.186,-14.327
5088,11.422,-4.365
7090,20.943,13.853
5015,5.946,-14.138
6432,16.724,-9.712
0119,166.971,0.000
7214,4.980,3.450
7181,3.296,0.000
7007,113.985,0.000
0038,346.538,0.000
0068,412.449,0.000
7722,5.443,0.000
7129,6.333,-34.025
0159,7.104,0.000
0105,6.790,0.000
4057,3.080,0.000
7162,4.207,12.907
7054,17.915,0.000
03032,17.877,0.000
6399,2.390,-11.595
0072,"1299.313",0.000
8176,11.294,0.000
7048,55.145,-16.745
5130,15.761,2.553
7099,18.097,0.000
5302,37.630,0.000
03037,13.211,0.000
8885,178.471,0.000
5204,52.169,0.000
7579,4.276,0.000
6888,3.120,3.497
5106,17.164,3.245
7120,0.000,0.000
2305,23.212,0.000
5021,1.694,9.856
7005,7.238,0.000
03012,13.567,0.000
0098,14.486,0.000
5258,8.767,-3.409
7251,0.598,0.000
1899,2.518,12.888
6602,4.249,0.000
0187,14.602,0.000
5190,4.642,-33.167
3239,410.477,16.362
3395,3.483,-20.956
5196,8.313,2.707
4219,16.920,0.000
5248,13.920,-11.710
9814,0.912,0.000
