,div_stock_code,div_year,div_status,dividend_y_%,div_dividend(RM)
0,0001,2018,Y,1.6500000000000001,0.015
1,0001,2019,Y,1.159,0.015
2,0001,2020,Y,0.9710000000000001,0.015
3,0001,2021,Y,1.343,0.015
4,0001,2022,Y,0.282,0.005
5,0002,2018,Y,3.396,0.05
6,0002,2019,Y,4.306,0.074
7,0002,2020,Y,3.8470000000000004,0.09
8,0002,2021,Y,3.167,0.09000000000000001
9,0002,2022,Y,5.418,0.255
10,0005,2018,N,0.0,0.0
11,0005,2019,N,0.0,0.0
12,0005,2020,N,0.0,0.0
13,0005,2021,N,0.0,0.0
14,0005,2022,N,0.0,0.0
15,0006,2018,N,0.0,0.0
16,0006,2019,N,0.0,0.0
17,0006,2020,N,0.0,0.0
18,0006,2021,N,0.0,0.0
19,0006,2022,N,0.0,0.0
20,0007,2018,N,0.0,0.0
21,0007,2019,N,0.0,0.0
22,0007,2020,N,0.0,0.0
23,0007,2021,N,0.0,0.0
24,0007,2022,N,0.0,0.0
25,0008,2018,Y,2.445,0.01
26,0008,2019,Y,3.24,0.015
27,0008,2020,Y,3.024,0.015
28,0008,2021,Y,3.846,0.015
29,0010,2018,N,0.0,0.0
30,0010,2019,N,0.0,0.0
31,0010,2020,N,0.0,0.0
32,0010,2021,N,0.0,0.0
33,0010,2022,N,0.0,0.0
34,0011,2018,Y,7.446,0.016
35,0011,2019,Y,6.612,0.016
36,0011,2020,Y,3.5250000000000004,0.016
37,0011,2021,Y,2.623,0.008
38,0012,2018,Y,2.743,0.02
39,0012,2019,Y,2.793,0.02
40,0012,2020,Y,2.726,0.022
41,0012,2021,Y,3.0220000000000002,0.03
42,0012,2022,Y,2.717,0.025
43,0017,2018,N,0.0,0.0
44,0017,2019,N,0.0,0.0
45,0017,2020,N,0.0,0.0
46,0017,2021,N,0.0,0.0
47,0017,2022,N,0.0,0.0
48,0018,2018,N,0.0,0.0
49,0018,2019,N,0.0,0.0
50,0018,2020,N,0.0,0.0
51,0018,2021,N,0.0,0.0
52,0018,2022,N,0.0,0.0
53,0020,2018,N,0.0,0.0
54,0020,2019,N,0.0,0.0
55,0020,2020,N,0.0,0.0
56,0020,2021,N,0.0,0.0
57,0020,2022,N,0.0,0.0
58,0021,2022,Y,2.525,0.025
59,0022,2018,N,0.0,0.0
60,0022,2019,N,0.0,0.0
61,0022,2020,N,0.0,0.0
62,0022,2021,N,0.0,0.0
63,0022,2022,N,0.0,0.0
64,0023,2018,Y,2.874,0.01
65,0023,2019,Y,2.874,0.01
66,0023,2020,Y,1.524,0.005
67,0023,2021,Y,3.509,0.01
68,0024,2021,Y,1.661,0.005
69,0025,2018,N,0.0,0.0
70,0025,2019,N,0.0,0.0
71,0025,2020,N,0.0,0.0
72,0025,2021,N,0.0,0.0
73,0025,2022,N,0.0,0.0
74,0026,2018,N,0.0,0.0
75,0026,2019,N,0.0,0.0
76,0026,2020,N,0.0,0.0
77,0026,2021,N,0.0,0.0
78,0026,2022,N,0.0,0.0
79,0028,2018,Y,3.704,0.005
80,0029,2018,N,0.0,0.0
81,0029,2019,N,0.0,0.0
82,0029,2020,N,0.0,0.0
83,0029,2021,N,0.0,0.0
