,annual_stock_code,div_year,annual_revenue('000),annual_net_income('000),annual_eps,annual_dp(%)
0,0001,2018,88288,12173,0.021,0.0
1,0001,2019,122969,18819,0.029,0.51
2,0001,2020,128411,22586,0.034,0.44
3,0001,2021,145441,25291,0.034,0.44
4,0001,2022,120980,26910,0.035,0.57
5,0002,2018,178476,15749,0.118,0.0
6,0002,2019,172550,22195,0.161,0.0
7,0002,2020,171727,29557,0.208,0.0
8,0002,2021,159622,24390,0.165,0.0
9,0002,2022,207917,62095,0.42,0.23
10,0002,2023,64752,18240,0.123,0.0
11,0005,2018,48263,14182,0.039,0.0
12,0005,2019,28878,7839,0.017,0.0
13,0005,2020,12302,-13669,-0.03,0.0
14,0005,2021,25103,11317,0.02,0.0
15,0005,2022,12227,-35101,-0.056,0.0
16,0005,2023,2394,-4078,-0.007,0.0
17,0006,2018,57851,24,0.0,0.0
18,0006,2019,39059,-1633,-0.034,0.0
19,0006,2020,44400,-1840,-0.038,0.0
20,0006,2021,55629,-390,-0.008,0.0
21,0006,2022,50457,-846,-0.017,0.0
22,0006,2023,13161,-538,-0.011,0.0
23,0007,2018,52470,6440,0.004,0.0
24,0007,2019,47780,-58783,-0.027,0.0
25,0007,2020,8601,-73526,-0.096,0.0
26,0007,2021,23693,-59968,-0.062,0.0
27,0007,2022,12585,-25509,-0.016,0.0
28,0008,2018,134639,11108,0.027,0.37
29,0008,2019,139338,14869,0.031,0.49
30,0008,2020,146147,17873,0.037,0.41
31,0008,2021,171304,15261,0.031,0.48
32,0008,2022,139421,10877,0.022,0.0
33,0010,2018,340239,-121753,-0.051,0.0
34,0010,2019,229087,38258,0.014,0.0
35,0010,2020,229587,13712,0.005,0.0
36,0010,2021,106618,-11020,-0.004,0.0
37,0010,2022,208556,3355,0.001,0.0
38,0010,2023,175512,8441,0.003,0.0
39,0011,2018,26611,4169,0.016,0.97
40,0011,2019,27855,8078,0.023,0.69
41,0011,2020,24273,12296,0.019,0.86
42,0011,2021,23690,8800,0.034,0.24
43,0011,2022,18095,3936,0.016,0.0
44,0012,2018,437977,29119,0.059,0.34
45,0012,2019,436066,29420,0.06,0.33
46,0012,2020,436165,30162,0.062,0.36
47,0012,2021,515615,46545,0.095,0.32
48,0012,2022,494241,31610,0.065,0.39
49,0017,2018,55606,-15679,-0.027,0.0
50,0017,2019,37894,-10242,-0.017,0.0
51,0017,2020,44842,-5706,-0.009,0.0
52,0017,2021,13776,-1919,-0.003,0.0
53,0017,2022,67634,-6565,-0.007,0.0
54,0017,2023,33744,2619,0.003,0.0
55,0018,2018,92476,16814,0.011,0.0
56,0018,2019,61021,9416,0.005,0.0
57,0018,2020,3765,-3226,-0.002,0.0
58,0018,2021,24843,-98820,-0.026,0.0
59,0018,2022,16588,-72683,-0.04,0.0
60,0020,2018,17567,-10261,-0.005,0.0
61,0020,2019,9993,-28152,-0.01,0.0
62,0020,2020,14897,-15760,-0.003,0.0
63,0020,2021,81099,-20932,-0.025,0.0
64,0020,2022,21707,-16102,-0.019,0.0
65,0021,2018,295369,24542,0.034,0.0
66,0021,2019,347763,28725,0.039,0.0
67,0021,2020,334417,13525,0.016,0.0
68,0021,2021,360165,28158,0.025,0.0
69,0021,2022,297221,18446,0.016,1.55
70,0022,2018,161746,-11963,-0.034,0.0
71,0022,2019,162926,-1213,-0.003,0.0
72,0022,2020,16003,-9988,-0.027,0.0
73,0022,2021,469,-5399,-0.013,0.0
74,0022,2022,123175,-6847,-0.015,0.0
75,0022,2023,10685,-1347,-0.003,0.0
76,0023,2018,93979,12076,0.02,0.51
77,0023,2019,86099,6689,0.011,0.9
78,0023,2020,81061,8316,0.014,0.37
79,0023,2021,79834,9824,0.016,0.62
80,0023,2022,54925,-4401,-0.007,0.0
81,0024,2018,154411,1844,0.001,0.0
82,0024,2019,139394,-11900,-0.008,0.0
83,0024,2020,159059,9167,0.014,0.0
84,0024,2021,224181,19211,0.033,0.15
85,0024,2022,194041,9167,0.015,0.0
86,0025,2018,76640,313,0.001,0.0
87,0025,2019,69024,2716,0.011,0.0
88,0025,2020,67767,607,0.002,0.0
89,0025,2021,63170,2110,0.009,0.0
90,0025,2022,79509,6168,0.028,0.0
91,0025,2023,44367,3126,0.012,0.0
92,0026,2018,72974,-2624,-0.004,0.0
93,0026,2019,53019,8235,0.011,0.0
94,0026,2020,39333,-3482,-0.005,0.0
95,0026,2021,32498,-9919,-0.009,0.0
96,0026,2022,22822,-19606,-0.022,0.0
97,0026,2023,14046,-5962,-0.005,0.0
98,0028,2018,22291,1460,0.003,0.0
99,0028,2019,15551,-4839,-0.009,0.0
100,0028,2020,19638,-28686,-0.046,0.0
101,0028,2021,87188,6749,0.01,0.0
102,0028,2022,172060,6008,0.006,0.0
103,0028,2023,47082,4338,0.004,0.0
104,0029,2018,57342,-19443,-0.03,0.0
105,0029,2019,56643,-3296,-0.005,0.0
106,0029,2020,49367,-2503,-0.003,0.0
107,0029,2021,28396,-6310,-0.008,0.0
108,0029,2022,33237,-5171,-0.006,0.0
109,0032,2018,118236,6193,0.008,0.0
110,0032,2019,211459,21840,0.028999999999999998,0.68
111,0032,2020,177906,6759,0.009,2.02
112,0032,2021,177096,26040,0.034,0.53
113,0032,2022,158042,38874,0.05,0.36
114,0032,2023,42053,13952,0.018,0.0
115,0034,2018,141218,-18040,-0.043,0.0
116,0034,2019,75094,-22169,-0.037,0.0
117,0034,2020,182541,-27879,-0.04,0.0
118,0034,2021,222795,-23096,-0.021,0.0
119,0034,2022,384710,-20906,-0.019,0.0
120,0034,2023,191836,-9869,-0.007,0.0
121,0035,2018,104061,6664,0.041,0.0
122,0035,2019,74581,462,0.003,0.04
123,0035,2020,44461,-7894,-0.049,0.0
124,0035,2021,66995,2588,0.016,0.0
125,0035,2022,87179,3947,0.022,0.0
126,0035,2023,40825,2245,0.008,0.0
127,0036,2018,27872,-9617,-0.008,0.0
128,0036,2019,44301,-6999,-0.015,0.0
129,0036,2020,40091,-15779,-0.03,0.0
130,0036,2021,65526,12596,0.03,0.0
