,Announced,Financial Year,Subject,EX Date,Payment Date,Amount,Indicator,Stock Code,Year
0,20/4/2022,31/12/2021,Interim Dividend,10/5/2022,27/5/2022,0.026,Currency,5250,2021
1,15/4/2021,31/12/2020,Interim Dividend,5/5/2021,21/5/2021,0.016,Currency,5250,2020
2,22/4/2020,31/12/2019,Interim Dividend,12/5/2020,28/5/2020,0.023,Currency,5250,2019
3,29/4/2019,31/12/2018,Interim Dividend,9/5/2019,23/5/2019,0.024,Currency,5250,2018
4,1/12/2022,31/12/2022,Income Distribution,23/12/2022,12/1/2023,0.0385,Currency,0800EA,2022
5,26/5/2021,31/12/2020,Income Distribution,24/6/2021,15/7/2021,0.037,Currency,0800EA,2020
6,30/11/2020,31/12/2020,Income Distribution,28/12/2020,14/1/2021,0.0241,Currency,0800EA,2020
7,3/12/2019,31/12/2019,Income Distribution,24/12/2019,16/1/2020,0.0159,Currency,0800EA,2019
8,7/12/2018,31/12/2018,Income Distribution,27/12/2018,18/1/2019,0.0465,Currency,0800EA,2018
9,29/11/2022,31/12/2022,Third Interim Dividend,13/12/2022,30/12/2022,0.01,Currency,7167,2022
10,30/8/2022,31/12/2022,Second Interim Dividend,13/9/2022,28/9/2022,0.015,Currency,7167,2022
11,1/6/2022,31/12/2022,First Interim Dividend,17/6/2022,30/6/2022,0.005,Currency,7167,2022
12,2/3/2022,31/12/2021,Fourth Interim Dividend,17/3/2022,30/3/2022,0.015,Currency,7167,2021
13,2/12/2021,31/12/2021,Third Interim Dividend,17/12/2021,31/12/2021,0.01,Currency,7167,2021
14,26/8/2021,31/12/2021,Second Interim Dividend,13/9/2021,30/9/2021,0.015,Currency,7167,2021
15,3/6/2021,31/12/2021,First Interim Dividend,21/6/2021,16/7/2021,0.01,Currency,7167,2021
16,24/3/2021,31/12/2020,Fourth Interim Dividend,8/4/2021,30/4/2021,0.01,Currency,7167,2020
17,25/11/2020,31/12/2020,Third Interim Dividend,10/12/2020,4/1/2021,0.02,Currency,7167,2020
18,27/8/2020,31/12/2020,Second Interim Dividend,11/9/2020,28/9/2020,0.017,Currency,7167,2020
19,19/6/2020,31/12/2020,First Interim Dividend,3/7/2020,29/7/2020,0.007,Currency,7167,2020
20,27/2/2020,31/12/2019,Fourth Interim Dividend,12/3/2020,31/3/2020,0.014,Currency,7167,2019
21,2/12/2019,31/12/2019,Interim Dividend,16/12/2019,30/12/2019,0.02,Currency,7167,2019
22,4/9/2019,31/12/2019,Interim Dividend,24/9/2019,14/10/2019,0.015,Currency,7167,2019
23,3/6/2019,31/12/2019,Interim Dividend,20/6/2019,3/7/2019,0.015,Currency,7167,2019
24,28/2/2019,31/12/2018,Interim Dividend,13/3/2019,29/3/2019,0.02,Currency,7167,2018
25,3/12/2018,31/12/2018,Interim Dividend,13/12/2018,26/12/2018,0.015,Currency,7167,2018
26,30/8/2018,31/12/2018,Interim Dividend,14/9/2018,28/9/2018,0.005,Currency,7167,2018
27,28/5/2018,31/12/2018,Interim Dividend,11/6/2018,26/6/2018,0.01,Currency,7167,2018
28,20/4/2021,31/12/2021,Interim Dividend,27/4/2021,27/5/2021,0.0099,Currency,3028,2021
29,22/10/2020,28/2/2021,Interim Dividend,13/11/2020,30/11/2020,0.003,Currency,218,2021
30,28/4/2022,31/12/2021,First and Final Dividend,27/7/2022,18/8/2022,0.0015,Currency,1481,2021
31,28/4/2021,31/12/2020,Final Dividend,27/7/2021,18/8/2021,0.0015,Currency,1481,2020
32,22/6/2020,31/12/2019,Final Dividend,27/7/2020,18/8/2020,0.0035,Currency,1481,2019
33,29/4/2019,31/12/2018,Final Dividend,25/7/2019,15/8/2019,0.0025,Currency,1481,2018
34,26/11/2020,31/12/2020,First Interim Dividend,15/12/2020,30/12/2020,0.01,Currency,5281,2020
35,21/11/2019,31/12/2019,First Interim Dividend,5/12/2019,30/12/2019,0.006,Currency,5281,2019
36,22/11/2018,31/12/2018,First Interim Dividend,6/12/2018,3/1/2019,0.01,Currency,5281,2018
37,29/4/2019,31/12/2018,Final Dividend,27/6/2019,25/7/2019,0.02,Currency,9148,2018
38,28/11/2018,31/12/2018,Interim Dividend,27/12/2018,23/1/2019,0.04,Currency,9148,2018
39,30/12/2019,31/12/2019,Special Dividend,14/1/2020,22/1/2020,0.07,Currency,7191,2019
40,30/12/2019,31/12/2019,Special Dividend,14/1/2020,22/1/2020,0.07,Currency,7146,2019
41,23/11/2018,30/9/2018,First Interim Dividend,4/12/2018,27/12/2018,0.002,Currency,181,2018
42,26/4/2022,31/12/2021,Final Dividend,30/5/2022,20/6/2022,0.03,Currency,6599,2021
43,24/5/2021,31/12/2020,Final Dividend,14/7/2021,29/7/2021,0.015,Currency,6599,2020
44,21/5/2020,31/12/2019,Final Dividend,15/7/2020,30/7/2020,0.04,Currency,6599,2019
45,29/4/2019,31/12/2018,Final Dividend,13/6/2019,11/7/2019,0.04,Currency,6599,2018
46,5/4/2022,28/2/2022,Final Dividend,6/7/2022,21/7/2022,0.15,Currency,5139,2022
47,5/4/2022,28/2/2022,Special Dividend,6/7/2022,21/7/2022,0.05,Currency,5139,2022
48,28/9/2021,28/2/2022,Interim Dividend,13/10/2021,3/11/2021,0.285,Currency,5139,2022
49,8/4/2021,28/2/2021,Final Dividend,30/6/2021,15/7/2021,0.2,Currency,5139,2021
50,29/9/2020,28/2/2021,Interim Dividend,14/10/2020,5/11/2020,0.092,Currency,5139,2021
51,9/4/2020,29/2/2020,Final Dividend,1/7/2020,16/7/2020,0.14,Currency,5139,2020
52,26/9/2019,29/2/2020,Interim Dividend,17/10/2019,7/11/2019,0.2225,Currency,5139,2020
53,29/4/2019,28/2/2019,Final Dividend,3/7/2019,18/7/2019,0.2235,Currency,5139,2019
54,4/10/2018,28/2/2019,Interim Dividend,16/10/2018,8/11/2018,0.2225,Currency,5139,2019
55,27/4/2018,28/2/2018,Final Dividend,27/6/2018,19/7/2018,0.2,Currency,5139,2018
56,5/10/2017,28/2/2018,Interim Dividend,17/10/2017,7/11/2017,0.2113,Currency,5139,2018
57,15/11/2022,31/12/2022,Special Dividend (with Dividend Re-Investment Plan),30/11/2022,29/12/2022,0.1809,Currency,5185,2022
58,15/11/2022,31/12/2022,Interim Dividend (with Dividend Re-Investment Plan),30/11/2022,29/12/2022,0.0453,Currency,5185,2022
59,25/5/2022,31/12/2021,Final Dividend (with Dividend Re-Investment Plan),9/6/2022,7/7/2022,0.125,Currency,5185,2021
60,9/3/2021,31/12/2020,Interim Dividend (with Dividend Re-Investment Plan),22/3/2021,19/4/2021,0.035,Currency,5185,2020
61,28/7/2020,31/12/2019,Interim Dividend (with Dividend Re-Investment Plan),11/8/2020,9/9/2020,0.07,Currency,5185,2019
62,10/12/2018,31/12/2018,Interim Dividend (with Dividend Re-Investment Plan),20/12/2018,22/1/2019,0.05,Currency,5185,2018
63,24/11/2020,31/12/2020,First Interim Dividend,10/12/2020,31/12/2020,0.0025,Currency,209,2020
64,26/11/2019,31/12/2019,Interim Dividend,10/12/2019,31/12/2019,0.0015,Currency,209,2019
65,3/8/2022,31/3/2022,First and Final Dividend,30/8/2022,28/9/2022,0.085,Currency,2658,2022
66,17/8/2021,31/3/2021,First and Final Dividend,22/9/2021,22/10/2021,0.3825,Currency,2658,2021
67,17/8/2020,31/3/2020,First and Final Dividend,1/10/2020,28/10/2020,0.493,Currency,2658,2020
68,25/7/2019,31/3/2019,First and Final Dividend,30/8/2019,23/9/2019,0.47,Currency,2658,2019
69,26/7/2018,31/3/2018,First and Final Dividend,29/8/2018,21/9/2018,0.465,Currency,2658,2018
70,25/11/2022,31/12/2022,Income Distribution,15/12/2022,6/1/2023,0.02,Currency,5116,2022
71,26/8/2022,31/12/2022,Income Distribution,19/9/2022,11/10/2022,0.02,Currency,5116,2022
72,30/5/2022,31/12/2022,Income Distribution,16/6/2022,8/7/2022,0.02,Currency,5116,2022
73,27/1/2022,31/12/2021,Income Distribution,11/2/2022,28/2/2022,0.018,Currency,5116,2021
74,26/11/2021,31/12/2021,Income Distribution,23/12/2021,20/1/2022,0.02,Currency,5116,2021
75,26/8/2021,31/12/2021,Income Distribution,24/9/2021,22/10/2021,0.02,Currency,5116,2021
76,28/5/2021,31/12/2021,Income Distribution,25/6/2021,16/7/2021,0.02,Currency,5116,2021
