"div_stock_code","div_year","div_status","dividend_y_%","div_dividend(RM)","annual_eps","annual_dp(%)"
"0001","2018","Y",1.65,0.015,0.021,0
"0001","2019","Y",1.159,0.015,0.029,0.51
"0001","2020","Y",0.971,0.015,0.034,0.44
"0001","2021","Y",1.343,0.015,0.034,0.44
"0001","2022","Y",0.282,0.005,0.035,0.57
"0002","2018","Y",3.396,0.05,0.118,0
"0002","2019","Y",4.306,0.074,0.161,0
"0002","2020","Y",3.847,0.09,0.208,0
"0002","2021","Y",3.167,0.09,0.165,0
"0002","2022","Y",5.418,0.255,0.42,0.23
"0005","2018","N",0,0,0.039,0
"0005","2019","N",0,0,0.017,0
"0005","2020","N",0,0,-0.03,0
"0005","2021","N",0,0,0.02,0
"0005","2022","N",0,0,-0.056,0
"0006","2018","N",0,0,0,0
"0006","2019","N",0,0,-0.034,0
"0006","2020","N",0,0,-0.038,0
"0006","2021","N",0,0,-0.008,0
"0006","2022","N",0,0,-0.017,0
"0007","2018","N",0,0,0.004,0
"0007","2019","N",0,0,-0.027,0
"0007","2020","N",0,0,-0.096,0
"0007","2021","N",0,0,-0.062,0
"0007","2022","N",0,0,-0.016,0
"0008","2018","Y",2.445,0.01,0.027,0.37
"0008","2019","Y",3.24,0.015,0.031,0.49
"0008","2020","Y",3.024,0.015,0.037,0.41
"0008","2021","Y",3.846,0.015,0.031,0.48
"0010","2018","N",0,0,-0.051,0
"0010","2019","N",0,0,0.014,0
"0010","2020","N",0,0,0.005,0
"0010","2021","N",0,0,-0.004,0
"0010","2022","N",0,0,0.001,0
"0011","2018","Y",7.446,0.016,0.016,0.97
"0011","2019","Y",6.612,0.016,0.023,0.69
"0011","2020","Y",3.5250000000000004,0.016,0.019,0.86
"0011","2021","Y",2.623,0.008,0.034,0.24
"0012","2018","Y",2.743,0.02,0.059,0.34
"0012","2019","Y",2.793,0.02,0.06,0.33
"0012","2020","Y",2.726,0.022,0.062,0.36
"0012","2021","Y",3.022,0.03,0.095,0.32
"0012","2022","Y",2.717,0.025,0.065,0.39
"0017","2018","N",0,0,-0.027,0
"0017","2019","N",0,0,-0.017,0
"0017","2020","N",0,0,-0.009,0
"0017","2021","N",0,0,-0.003,0
"0017","2022","N",0,0,-0.007,0
"0018","2018","N",0,0,0.011,0
"0018","2019","N",0,0,0.005,0
"0018","2020","N",0,0,-0.002,0
"0018","2021","N",0,0,-0.026,0
"0018","2022","N",0,0,-0.04,0
"0020","2018","N",0,0,-0.005,0
"0020","2019","N",0,0,-0.01,0
"0020","2020","N",0,0,-0.003,0
"0020","2021","N",0,0,-0.025,0
"0020","2022","N",0,0,-0.019,0
"0021","2022","Y",2.525,0.025,0.016,1.55
"0022","2018","N",0,0,-0.034,0
"0022","2019","N",0,0,-0.003,0
"0022","2020","N",0,0,-0.027,0
"0022","2021","N",0,0,-0.013,0
"0022","2022","N",0,0,-0.015,0
"0023","2018","Y",2.874,0.01,0.02,0.51
"0023","2019","Y",2.874,0.01,0.011,0.9
"0023","2020","Y",1.524,0.005,0.014,0.37
"0023","2021","Y",3.509,0.01,0.016,0.62
"0024","2021","Y",1.661,0.005,0.033,0.15
"0025","2018","N",0,0,0.001,0
"0025","2019","N",0,0,0.011,0
"0025","2020","N",0,0,0.002,0
"0025","2021","N",0,0,0.009,0
"0025","2022","N",0,0,0.028,0
"0026","2018","N",0,0,-0.004,0
"0026","2019","N",0,0,0.011,0
"0026","2020","N",0,0,-0.005,0
"0026","2021","N",0,0,-0.009,0
"0026","2022","N",0,0,-0.022,0
"0028","2018","Y",3.704,0.005,0.003,0
"0029","2018","N",0,0,-0.03,0
"0029","2019","N",0,0,-0.005,0
"0029","2020","N",0,0,-0.003,0
"0029","2021","N",0,0,-0.008,0
"0029","2022","N",0,0,-0.006,0
"0032","2019","Y",2.801,0.01,0.0289999999999999,0.68
"0032","2020","Y",5.279,0.018,0.009,2.02
"0032","2021","Y",2.835,0.018,0.034,0.53
"0032","2022","Y",4,0.018,0.05,0.36
"0034","2018","N",0,0,-0.043,0
"0034","2019","N",0,0,-0.037,0
"0034","2020","N",0,0,-0.04,0
"0034","2021","N",0,0,-0.021,0
"0034","2022","N",0,0,-0.019,0
"0035","2018","Y",3.521,0.02,0.041,0
"0035","2019","Y",1.302,0.0125,0.003,0.04
"0036","2018","N",0,0,-0.008,0
"0036","2019","N",0,0,-0.015,0
"0036","2020","N",0,0,-0.03,0
"0036","2021","N",0,0,0.03,0
"0036","2022","N",0,0,-0.019,0
"0037","2018","Y",3.723,0.007,0.024,0.29
"0037","2019","Y",2.5,0.003,0.026,0.12
"0038","2018","N",0,0,-0.032,0
"0038","2019","N",0,0,-0.012,0
"0038","2020","N",0,0,-0.043,0
"0038","2021","N",0,0,0.016,0
"0038","2022","N",0,0,0,0
"0039","2018","Y",2.511,0.011,0.018,0
"0039","2019","Y",0.983,0.0017,0.019,0
"0039","2020","Y",3.153,0.0064,0.017,0
"0039","2022","Y",0.944,0.0017,0.023,0
"0040","2018","Y",7.322999999999999,0.0125,0.034,0.37
"0040","2019","Y",7.407,0.015,0.037,0.4
"0040","2020","Y",4.198,0.0125,0.03,0.42
"0040","2021","Y",2.404,0.01,0.025,0.4
"0040","2022","Y",3.979,0.014,0.019,0.52
"0041","2018","N",0,0,-0.079,0
"0041","2019","N",0,0,-0.003,0
"0041","2020","N",0,0,-0.022,0
"0041","2021","N",0,0,0.045,0
"0041","2022","N",0,0,0.035,0
"0043","2018","N",0,0,-0.005,0
"0043","2019","N",0,0,-0.022,0
"0043","2020","N",0,0,-0.021,0
"0043","2021","N",0,0,-0.013,0
"0043","2022","N",0,0,-0.012,0
"0045","2018","N",0,0,-0.002,0
"0045","2019","N",0,0,-0.003,0
"0045","2020","N",0,0,-0.007,0
"0045","2021","N",0,0,-0.007,0
"0045","2022","N",0,0,0.003,0
"0048","2018","N",0,0,-0.002,0
"0048","2019","N",0,0,-0.001,0
"0048","2020","N",0,0,-0.001,0
"0048","2021","N",0,0,0.001,0
"0048","2022","N",0,0,-0.004,0
"0049","2018","Y",2.283,0.01,0.027,0
"0049","2019","Y",2.506,0.01,0.029,0
"0049","2020","Y",1.282,0.008,0.017,0.01
"0049","2021","Y",2.036,0.008,0.02,0
"0049","2022","Y",2.899,0.01,0.018,0
"0050","2019","Y",1.235,0.002,0.001,1.54
"0050","2020","Y",0.957,0.002,-0.002,-1.11
"0050","2021","Y",0.69,0.002,-0.004,-0.51
"0051","2018","N",0,0,-0.029,0
"0051","2019","N",0,0,-0.007,0
"0051","2020","N",0,0,-0.018,0
"0051","2021","N",0,0,-0.017,0
"0051","2022","N",0,0,-0.007,0
"0053","2021","Y",3.774,0.02,0.148,0.13
"0054","2018","Y",1.235,0.003,0.023,0.13
"0054","2019","Y",1.508,0.003,0.009,0.33
"0054","2020","Y",3.846,0.0045,0.014,0.31
"0054","2021","Y",4.824,0.01,0.01,1.02
"0055","2018","N",0,0,-0.003,0
"0055","2019","N",0,0,-0.003,0
"0055","2020","N",0,0,0.001,0
"0055","2021","N",0,0,-0.007,0
"0055","2022","N",0,0,-0.006,0
"0056","2018","Y",2.203,0.005,0.012,0.52
"0058","2018","Y",2.865,0.04,0.072,0
"0058","2019","Y",3.044,0.04,0.072,0
"0058","2020","Y",2.37,0.03,0.047,0
"0058","2021","Y",2.692,0.035,0.127,0
"0059","2018","N",0,0,-0.012,0
"0059","2019","N",0,0,0.016,0
"0059","2020","N",0,0,-0.009,0
"0059","2021","N",0,0,0.018,0
"0059","2022","N",0,0,-0.031,0
"0060","2018","N",0,0,0.001,0
"0060","2019","N",0,0,0.001,0
"0060","2020","N",0,0,-0.014,0
"0060","2021","N",0,0,-0.016,0
"0060","2022","N",0,0,0.007,0
"0064","2018","N",0,0,-0.011,0
"0064","2019","N",0,0,-0.012,0
"0064","2020","N",0,0,-0.006,0
"0064","2021","N",0,0,-0.005,0
"0064","2022","N",0,0,-0.003,0
"0065","2018","Y",2.871,0.015,0.016,0.94
"0065","2019","Y",1.921,0.01,0.013,0.77
"0065","2020","Y",2.099,0.01,0.019,0.53
"0065","2021","Y",3.823,0.02,0.023,0.44
"0066","2018","N",0,0,-0.005,0
"0066","2019","N",0,0,-0.004,0
"0066","2020","N",0,0,-0.01,0
"0066","2021","N",0,0,-0.017,0
"0066","2022","N",0,0,-0.006,0
"0068","2018","N",0,0,-0.02,0
"0068","2019","N",0,0,-0.03,0
"0068","2020","N",0,0,-0.037,0
"0068","2021","N",0,0,-0.015,0
"0068","2022","N",0,0,-0.019,0
"0069","2018","N",0,0,-0.012,0
"0069","2019","N",0,0,0,0
"0069","2020","N",0,0,0.001,0
"0069","2021","N",0,0,0.005,0
"0069","2022","N",0,0,0.002,0
"0070","2018","N",0,0,-0.011,0
"0070","2019","N",0,0,-0.012,0
"0070","2020","N",0,0,-0.011,0
"0070","2021","N",0,0,-0.001,0
"0070","2022","N",0,0,0.001,0
"0072","2018","N",0,0,-0.01,0
"0072","2019","N",0,0,-0.018,0
"0072","2020","N",0,0,-0.032,0
"0072","2021","N",0,0,-0.009,0
"0072","2022","N",0,0,-0.023,0
"0074","2018","N",0,0,-0.027,0
"0074","2019","N",0,0,0.007,0
"0074","2020","N",0,0,-0.038,0
"0074","2021","N",0,0,-0.013,0
"0074","2022","N",0,0,-0.01,0
"0075","2018","N",0,0,-0.022,0
"0075","2019","N",0,0,-0.019,0
"0075","2020","N",0,0,-0.029,0
"0075","2021","N",0,0,-0.032,0
"0075","2022","N",0,0,-0.022,0
"0078","2018","Y",0.654,0.002,0.004,0.47
"0078","2019","Y",0.919,0.0025,0.006,0.42
"0078","2020","Y",0.524,0.002,0.003,0.63
"0078","2021","Y",0.69,0.002,0.007,0.49
"0079","2018","N",0,0,-0.004,0
"0079","2019","N",0,0,0.003,0
"0079","2020","N",0,0,-0.006,0
"0079","2021","N",0,0,-0.1,0
"0079","2022","N",0,0,0,0
"0080","2021","Y",1.667,0.002,0.006,0
"0081","2018","N",0,0,0.005,0
"0081","2019","N",0,0,0.001,0
"0081","2020","N",0,0,-0.042,0
"0081","2021","N",0,0,-0.05,0
"0081","2022","N",0,0,-0.005,0
"0082","2018","N",0,0,-0.077,0
"0082","2019","N",0,0,-0.048,0
"0082","2020","N",0,0,-0.075,0
"0082","2021","N",0,0,-0.12,0
"0082","2022","N",0,0,-0.024,0
"0083","2018","Y",2.427,0.01,0.134,0.07
"0083","2019","Y",1.562,0.01,0.023,0.44
"0084","2018","Y",0.53,0.01,0.018,0.57
"0084","2019","Y",0.304,0.005,0.015,0.65
"0084","2020","Y",0.469,0.01,0.009,1.1
"0085","2018","N",0,0,-0.005,0
"0085","2019","N",0,0,-0.009,0
"0085","2020","N",0,0,-0.039,0
"0085","2021","N",0,0,-0.029,0
"0085","2022","N",0,0,-0.01,0
"0086","2018","N",0,0,-0.01,0
"0086","2019","N",0,0,-0.003,0
"0086","2020","N",0,0,-0.029,0
"0086","2021","N",0,0,0.001,0
"0086","2022","N",0,0,0,0
"0089","2018","Y",0.896,0.006,0.031,0.2
"0089","2019","Y",1.523,0.006,0.02,0.3
"0089","2022","Y",1.429,0.006,0.022,0.27
"0090","2018","Y",6.938000000000001,0.075,0.103,0.73
"0090","2019","Y",4.3870000000000005,0.03,0.026,1.13
"0090","2020","Y",1.592,0.01,0.001,9.09
"0090","2021","Y",1.705,0.015,0.016,0.91
"0090","2022","Y",1.493,0.01,0.017,0.58
"0091","2018","N",0,0,-0.078,0
"0091","2019","N",0,0,-0.001,0
"0091","2020","N",0,0,-0.025,0
"0091","2021","N",0,0,-0.007,0
"0091","2022","N",0,0,0.842,0
"0092","2018","N",0,0,0.004,0
"0092","2019","N",0,0,-0.042,0
"0092","2020","N",0,0,-0.043,0
"0092","2021","N",0,0,-0.0209999999999999,0
"0092","2022","N",0,0,-0.011,0
"0093","2021","Y",4.396,0.02,0.07,0.29
"0094","2018","N",0,0,-0.02,0
"0094","2019","N",0,0,-0.021,0
"0094","2020","N",0,0,0.01,0
"0094","2021","N",0,0,-0.0569999999999999,0
"0094","2022","N",0,0,0,0
"0095","2018","N",0,0,-0.009,0
"0095","2019","N",0,0,-0.182,0
"0095","2020","N",0,0,0.002,0
"0095","2021","N",0,0,0.012,0
"0095","2022","N",0,0,0.013,0
"0096","2018","N",0,0,-0.031,0
"0096","2019","N",0,0,-0.011,0
"0096","2020","N",0,0,-0.024,0
"0096","2021","N",0,0,-0.002,0
"0096","2022","N",0,0,-0.006,0
"0097","2018","Y",1.735,0.0575,0.224,0.21
"0097","2019","Y",0.938,0.043,0.169,0.33
"0097","2020","Y",0.78,0.057,0.224,0.33
"0097","2021","Y",0.718,0.0583,0.359,0.18
"0097","2022","Y",0.163,0.0125,0.161,0.21
"0098","2018","N",0,0,0.099,0
"0098","2019","N",0,0,0.002,0
"0098","2020","N",0,0,-0.14,0
"0098","2021","N",0,0,-0.012,0
"0098","2022","N",0,0,0.01,0
"0099","2018","Y",6.231,0.09,0.091,0.99
"0099","2019","Y",6.232,0.055,0.057,0.97
"0099","2020","Y",6.064,0.05,0.063,0.8
"0099","2021","Y",6.214,0.06,0.073,0.83
"0099","2022","Y",6.5440000000000005,0.07,0.088,0.79
"0100","2018","Y",3.947,0.006,0.001,5.45
"0100","2019","Y",7.143,0.006,0.003,1.76
"0100","2020","Y",7.059,0.006,0.012,0.49
"0100","2021","Y",7.61,0.05,0.071,0.71
"0101","2018","Y",0.25,0.0018,0.016,0.11
"0101","2019","Y",0.357,0.002,0.016,0.12
"0101","2020","Y",0.299,0.0017,0.008,0.22
"0101","2021","Y",0.406,0.0022,0.012,0.19
"0101","2022","Y",0.454,0.0027,0.024,0.12
"0102","2018","N",0,0,-0.029,0
"0102","2019","N",0,0,-0.022,0
"0102","2020","N",0,0,-0.009,0
"0102","2021","N",0,0,-0.027,0
"0102","2022","N",0,0,-0.003,0
"0103","2018","N",0,0,-0.004,0
"0103","2019","N",0,0,-0.004,0
"0103","2020","N",0,0,-0.005,0
"0103","2021","N",0,0,-0.013,0
"0103","2022","N",0,0,-0.01,0
"0104","2019","Y",38.68,0.05,0.143,0.35
"0105","2018","Y",5.556,0.005,-0.006,-0.78
"0106","2018","Y",4.717,0.03,0.044,0.68
"0106","2019","Y",6.024,0.03,0.044,0.68
"0106","2020","Y",5.464,0.03,0.054,0.56
"0106","2021","Y",4.92,0.04,0.056,0.71
"0106","2022","Y",4.711,0.04,0.054,0.74
"0107","2018","N",0,0,-0.045,0
"0107","2019","N",0,0,-0.007,0
"0107","2020","N",0,0,-0.043,0
"0107","2021","N",0,0,-0.014,0
"0107","2022","N",0,0,-0.006,0
"0108","2018","Y",4.852,0.04,0.025,1.58
"0108","2019","Y",3.5540000000000003,0.02,0.028,0.35
"0108","2020","Y",6.647,0.045,0.049,0.72
"0108","2021","Y",2.95,0.02,0.039,1.02
"0108","2022","Y",1.98,0.01,0.02,0.5
"0109","2018","N",0,0,0.001,0
"0109","2019","N",0,0,0.002,0
"0109","2020","N",0,0,-0.001,0
"0109","2021","N",0,0,-0.002,0
"0109","2022","N",0,0,-0.003,0
"0111","2018","N",0,0,0.01,0
