,quar_eps,quar_dps,quar_nta,quar_financial_year,quar_annouced_date,quar_roe(%),quar_stock_code,quar_year
0,1.21,0.0,0.1106,2022-12-31,2022-11-29,10.9,5250,2022
1,2.29,0.0,0.0984,2022-12-31,2022-08-25,23.3,5250,2022
2,2.16,0.0,0.1015,2022-12-31,2022-05-26,21.3,5250,2022
3,2.6,0.0,0.0799,2021-12-31,2022-02-24,32.5,5250,2021
4,0.13,0.0,0.0522,2021-12-31,2021-11-25,2.5,5250,2021
5,0.1,0.0,0.0509,2021-12-31,2021-08-26,2.0,5250,2021
6,1.03,0.0,0.0687,2021-12-31,2021-05-27,15.0,5250,2021
7,0.39,0.0,0.0591,2020-12-31,2021-02-26,6.6,5250,2020
8,1.13,0.0,0.0743,2020-12-31,2020-11-25,15.2,5250,2020
9,0.09,0.0,0.072,2020-12-31,2020-08-26,1.3,5250,2020
10,0.99,0.0,0.0985,2020-12-31,2020-05-28,10.1,5250,2020
11,0.99,0.0,0.0893,2019-12-31,2020-02-27,11.1,5250,2019
12,1.48,0.0,0.0792,2019-12-31,2019-11-25,18.7,5250,2019
13,1.28,0.0,0.0648,2019-12-31,2019-08-27,19.8,5250,2019
14,0.99,0.0,0.0765,2019-12-31,2019-05-29,12.9,5250,2019
15,1.11,0.0,0.0822,2018-12-31,2019-02-26,13.5,5250,2018
16,1.48,0.0,0.0739,2018-12-31,2018-11-30,20.0,5250,2018
17,1.17,0.0,0.0592,2018-12-31,2018-08-29,19.8,5250,2018
18,0.8,0.0,0.0747,2018-12-31,2018-05-24,10.7,5250,2018
19,-3.17,0.0,0.0,2022-12-31,2022-08-24,,0800EA,2022
20,-2.73,3.7,0.0,2021-12-31,2021-08-20,,0800EA,2021
21,5.3,3.62,0.0,2020-12-31,2020-08-27,,0800EA,2020
22,6.05,2.33,0.0,2019-12-31,2019-08-28,,0800EA,2019
23,2.25,0.0,0.0,2018-12-31,2018-11-29,,0800EA,2018
24,-0.16,0.0,0.0,2018-12-31,2018-08-30,,0800EA,2018
25,1.3,0.0,0.0,2018-12-31,2018-05-30,,0800EA,2018
26,2.71,1.0,1.29,2022-12-31,2022-11-25,2.1,7167,2022
27,4.1,1.5,1.27,2022-12-31,2022-08-26,3.2,7167,2022
28,1.34,0.5,1.23,2022-12-31,2022-05-31,1.1,7167,2022
29,3.32,1.5,1.24,2021-12-31,2022-02-25,2.7,7167,2021
30,2.85,1.0,1.22,2021-12-31,2021-11-29,2.3,7167,2021
31,3.71,1.5,1.21,2021-12-31,2021-08-25,3.1,7167,2021
32,3.06,1.0,1.19,2021-12-31,2021-05-31,2.6,7167,2021
33,2.63,1.0,1.16,2020-12-31,2021-03-19,2.3,7167,2020
34,5.08,2.0,1.16,2020-12-31,2020-11-24,4.4,7167,2020
35,3.59,1.7,1.13,2020-12-31,2020-08-26,3.2,7167,2020
36,1.46,0.7,1.1,2020-12-31,2020-06-16,1.3,7167,2020
37,4.13,1.4,1.1,2019-12-31,2020-02-25,3.8,7167,2019
38,4.8,2.0,1.09,2019-12-31,2019-11-28,4.4,7167,2019
39,3.14,1.5,1.04,2019-12-31,2019-08-29,3.0,7167,2019
40,3.58,1.5,1.03,2019-12-31,2019-05-29,3.5,7167,2019
41,4.94,2.0,1.02,2018-12-31,2019-02-26,4.8,7167,2018
42,4.07,1.5,0.99,2018-12-31,2018-11-28,4.1,7167,2018
43,1.12,0.5,0.95,2018-12-31,2018-08-30,1.2,7167,2018
44,2.45,1.0,0.95,2018-12-31,2018-05-23,2.6,7167,2018
