stock_code,pe,pb
5250,23.98,27.414
0800EA,0,0
7167,13.62,1.170
7086,-,0.892
5198,22.62,0.434
03028,-,3.919
7131,-,0.671
0218,12.83,0.988
0122,-,1.805
1481,-,0.921
5281,125.63,0.571
9148,-,1.955
7191,33.21,1.399
7146,-,0.553
0181,77.08,1.379
6599,12.14,1.096
5139,9.55,1.457
5185,3.24,0.476
7145,1.12,0.140
7315,-,1.608
7078,-,0.466
0209,15.28,3.121
5238,0.01,2.707
2658,-,1.670
7609,18.67,1.440
5116,12.30,1.041
5115,-,0.534
2674,1.90,0.853
0079,-,1.869
2488,8.60,0.837
1163,12.99,0.580
03051,438.50,12.690
5269,62.32,0.422
5127,17.55,0.473
5293,10.44,1.234
5120,88.61,0.296
03011,14.14,3.350
1015,7.77,0.765
7031,43.01,1.275
6351,16.57,4.202
7083,7.41,0.540
0048,-,4.351
4758,13.06,3.032
0226,-,1.375
6556,-,0.630
5082,0.64,0.579
9342,-,0.229
5568,19.90,1.137
5088,36.80,0.785
7090,18.24,3.148
5015,10.42,0.288
6432,14.16,1.432
0119,150.00,6.315
7214,5.47,0.628
7181,2.75,0.419
7007,-,1.376
0038,-,6.339
0068,-,2.629
7722,6.78,0.568
7129,10.08,0.476
0159,5.48,5.085
0105,-,0.699
4057,-,0.161
7162,6.65,0.505
7054,-,0.445
03032,22.64,2.355
6399,9.42,2.733
0072,-,0.270
8176,-,0.595
7048,44.00,1.909
5130,13.68,1.061
7099,19.40,0.365
5302,33.16,5.340
03037,-,2.447
8885,98.84,0.458
5204,65.66,1.676
7579,6.92,0.726
6888,-,1.529
5106,15.87,1.246
7120,-,0.829
2305,16.65,0.931
5021,2.68,0.519
7005,11.62,1.248
03012,-,1.793
0098,500.00,3.179
5258,11.31,0.827
7251,-,6.067
1899,7.68,1.192
6602,3.46,0.229
0187,-,0.229
5190,-,0.219
3239,-,0.410
3395,18.04,0.300
5196,13.97,4.593
4219,-,0.349
5248,10.87,4.029
9814,-,0.149
7668,17.06,1.306
6173,11.97,0.190
5932,-,0.558
0195,19.78,0.813
6998,15.42,0.385
5032,6.21,1.429
0179,-,0.745
5069,19.57,1.359
0168,29.27,1.728
9288,8.69,1.402
7036,2.72,0.221
8133,-,1.172
2771,2.67,0.373
5254,2.57,0.561
6297,-,0.805
5100,9.81,1.568
9938,-,0.387
0011,8.30,1.050
4162,13.27,9.237
7221,-,0.360
7188,-,4.152
5210,5.41,0.874
1818,23.97,6.924
03042,-,1.477
2828,6.65,1.513
