,div_announced_year,div_ex_date,div_dividend(RM),div_stock_code,div_year,div_status,stock_close,dividend_y_%
0,2017-06-14,2017-06-30,0.03,6399,2018,Y,1.781,1.684
1,2017-06-20,2017-07-05,0.015,7235,2018,Y,1.925,0.779
2,2017-07-04,2017-07-14,0.01,5267,2018,Y,1.208,0.828
3,2017-07-13,2017-07-27,0.06,7048,2018,Y,3.519,1.705
4,2017-08-10,2017-08-23,0.02,0035,2018,Y,0.568,3.521
5,2017-08-24,2017-09-08,0.01,7382,2018,Y,0.57,1.754
6,2017-08-24,2017-09-11,0.01,7107,2018,Y,1.377,0.726
7,2017-08-24,2017-09-12,0.0325,5236,2018,Y,1.1,2.955
8,2017-08-22,2017-09-13,0.006,0183,2018,Y,1.193,0.503
9,2017-08-25,2017-09-13,0.025,7052,2018,Y,3.952,0.633
10,2017-09-05,2017-09-18,0.04,7237,2018,Y,1.501,2.665
11,2017-08-30,2017-09-18,0.15,6645,2018,Y,0.418,35.885
12,2017-08-28,2017-09-20,0.02,7169,2018,Y,1.059,1.889
13,2017-09-07,2017-09-21,0.015,7247,2018,Y,0.368,4.076
14,2017-07-26,2017-09-27,0.01,5125,2018,Y,0.515,1.942
15,2017-09-14,2017-09-28,0.01,5216,2018,Y,0.51,1.961
16,2017-09-14,2017-09-29,0.03,6399,2018,Y,2.008,1.494
17,2017-09-08,2017-10-03,0.006,0100,2018,Y,0.152,3.947
18,2017-09-21,2017-10-05,0.008,5066,2018,Y,0.626,1.278
19,2017-09-20,2017-10-06,0.04,1562,2018,Y,1.831,2.185
20,2017-09-11,2017-10-09,0.015,5248,2018,Y,1.619,0.926
21,2017-09-15,2017-10-11,0.035,7087,2018,Y,2.014,1.738
22,2017-09-15,2017-10-11,0.01,5196,2018,Y,0.272,3.676
23,2017-09-28,2017-10-11,0.025,3204,2018,Y,2.601,0.961
24,2017-10-05,2017-10-17,0.2113,5139,2018,Y,11.197,1.887
25,2017-09-28,2017-10-27,0.09,5027,2018,Y,1.051,8.563
26,2017-09-28,2017-10-27,0.03,6718,2018,Y,1.211,2.477
27,2017-10-12,2017-10-30,0.05,7048,2018,Y,3.637,1.375
28,2017-10-10,2017-10-30,0.05,7207,2018,Y,1.514,3.303
29,2017-10-24,2017-11-06,0.003,0054,2018,Y,0.243,1.235
30,2017-10-26,2017-11-09,0.008,5022,2018,Y,0.416,1.923
31,2017-10-30,2017-11-09,0.015,5280,2018,Y,0.608,2.467
32,2017-10-31,2017-11-13,0.0267,5176,2018,Y,1.367,1.953
33,2017-11-08,2017-11-22,0.1,3867,2018,Y,12.067,0.829
34,2017-11-09,2017-11-23,0.15,3301,2018,Y,8.119,1.848
35,2017-11-13,2017-11-23,0.02,0099,2018,Y,1.346,1.486
36,2017-09-27,2017-11-28,0.04,7293,2018,Y,1.824,2.193
37,2017-11-21,2017-12-05,0.0212,5120,2018,Y,0.471,4.501
38,2017-10-16,2017-12-05,0.05,7099,2018,Y,0.723,6.916
39,2017-11-22,2017-12-06,0.05,3107,2018,Y,1.525,3.279
40,2017-11-23,2017-12-06,0.006,0183,2018,Y,1.162,0.516
41,2017-11-22,2017-12-06,0.015,5253,2018,Y,1.229,1.221
42,2017-11-07,2017-12-06,0.035,5168,2018,Y,3.651,0.959
43,2017-11-22,2017-12-06,0.0197,5109,2018,Y,0.912,2.16
44,2017-11-22,2017-12-07,0.01,7107,2018,Y,1.185,0.844
45,2017-11-24,2017-12-08,0.015,7169,2018,Y,1.072,1.399
46,2017-11-23,2017-12-11,0.015,7047,2018,Y,0.738,2.033
47,2017-11-27,2017-12-11,0.03,0106,2018,Y,0.636,4.717
48,2017-11-28,2017-12-11,0.0107,5090,2018,Y,0.255,4.196
49,2017-11-28,2017-12-13,0.0125,5081,2018,Y,0.6,2.083
50,2017-11-28,2017-12-13,0.05,1015,2018,Y,3.66,1.366
51,2017-11-29,2017-12-13,0.025,7052,2018,Y,4.833,0.517
52,2017-11-21,2017-12-13,0.023,0166,2018,Y,1.912,1.203
53,2017-11-28,2017-12-13,0.03,3336,2018,Y,2.223,1.35
54,2017-11-30,2017-12-14,0.025,7237,2018,Y,1.393,1.795
55,2017-11-30,2017-12-14,0.13,1082,2018,Y,16.047,0.81
56,2017-11-30,2017-12-15,0.085,2488,2018,Y,3.255,2.611
57,2017-12-05,2017-12-18,0.02,3204,2018,Y,2.899,0.69
58,2017-12-06,2017-12-19,0.03,6399,2018,Y,1.829,1.64
59,2017-11-23,2017-12-20,0.0325,5236,2018,Y,1.082,3.004
60,2017-12-07,2017-12-20,0.015,7247,2018,Y,0.336,4.464
61,2017-12-07,2017-12-20,0.01,5216,2018,Y,0.497,2.012
62,2017-11-16,2017-12-22,0.02,7811,2018,Y,0.699,2.861
63,2017-11-24,2017-12-26,0.15,3719,2018,Y,30.812,0.487
64,2017-11-29,2017-12-27,0.05,5107,2018,Y,1.957,2.555
65,2017-10-24,2017-12-27,0.005,5125,2018,Y,0.492,1.016
