,quar_stock_code,quar_year,quar_eps,quar_dps,quar_roe(%)
0,0001,2018,0.021,0.0,10.9
1,0001,2019,0.029,0.015,9.5
2,0001,2020,0.034,0.015,10.1
3,0001,2021,0.034,0.015,8.7
4,0001,2022,0.035,0.02,8.3
5,0002,2018,0.118,0.0,10.5
6,0002,2019,0.161,0.0,13.7
7,0002,2020,0.208,0.0,16.5
8,0002,2021,0.165,0.0,12.2
9,0002,2022,0.42,0.095,27.0
10,0002,2023,0.123,0.0,7.0
11,0008,2018,0.027,0.01,7.4
12,0008,2019,0.031,0.015,9.3
13,0008,2020,0.037,0.015,10.5
14,0008,2021,0.031,0.015,8.5
15,0008,2022,0.022,0.0,5.8
16,0011,2018,0.016,0.016,7.3999999999999995
17,0011,2019,0.023,0.016,9.7
18,0011,2020,0.019,0.016,7.4
19,0011,2021,0.034,0.008,11.5
20,0011,2022,0.016,0.0,5.0
21,0012,2018,0.059,0.02,9.0
22,0012,2019,0.06,0.02,8.5
23,0012,2020,0.062,0.022,8.3
24,0012,2021,0.095,0.03,11.9
25,0012,2022,0.065,0.025,7.6
26,0021,2018,0.034,0.0,6.9
27,0021,2019,0.039,0.0,6.7
28,0021,2020,0.016,0.0,3.0
29,0021,2021,0.025,0.0,5.6
30,0021,2022,0.016,0.025,3.5
31,0023,2018,0.02,0.01,14.5
32,0023,2019,0.011,0.01,5.8
33,0023,2020,0.014,0.005,6.800000000000001
34,0023,2021,0.016,0.01,7.9
35,0023,2022,-0.007,0.0,-3.5
36,0024,2018,0.001,0.0,1.3
37,0024,2019,-0.008,0.0,-8.3
38,0024,2020,0.014,0.0,5.6
39,0024,2021,0.033,0.005,9.6
40,0024,2022,0.015,0.0,4.2
41,0028,2018,0.003,0.0,1.2000000000000002
42,0028,2019,-0.009,0.0,-4.3
43,0028,2020,-0.046,0.0,-29.099999999999998
44,0028,2021,0.01,0.0,6.0
45,0028,2022,0.006,0.0,3.5
46,0028,2023,0.004,0.0,2.1
47,0032,2018,0.008,0.0,4.4
48,0032,2019,0.028,0.01,14.1
49,0032,2020,0.009,0.018,3.4999999999999996
50,0032,2021,0.034,0.018,15.7
51,0032,2022,0.05,0.018,19.9
52,0032,2023,0.018,0.0,6.4
53,0035,2018,0.041,0.0,7.6
54,0035,2019,0.003,0.0,0.5000000000000001
55,0035,2020,-0.049,0.0,-9.4
56,0035,2021,0.016,0.0,3.0
57,0035,2022,0.022,0.0,4.1
58,0035,2023,0.008,0.0,1.4
59,0037,2018,0.024,0.007,15.8
60,0037,2019,0.026,0.003,13.0
61,0037,2020,-0.017,0.0,-10.799999999999999
62,0037,2021,-0.006,0.0,-4.4
63,0037,2022,-0.003,0.0,-2.1
64,0039,2018,0.018,0.0,10.1
65,0039,2019,0.019,0.0,9.600000000000001
66,0039,2020,0.017,0.0,7.300000000000001
67,0039,2021,0.019,0.0,8.100000000000001
68,0039,2022,0.023,0.0,9.4
69,0040,2018,0.034,0.012,10.600000000000001
70,0040,2019,0.037,0.015,18.4
71,0040,2020,0.03,0.012,14.5
72,0040,2021,0.025,0.01,15.0
73,0040,2022,0.019,0.01,10.7
74,0049,2018,0.027,0.0,7.2
75,0049,2019,0.029,0.0,7.300000000000001
76,0049,2020,0.017,0.0,4.4
77,0049,2021,0.02,0.0,4.7
78,0049,2022,0.018,0.0,4.0
79,0050,2018,0.004,0.0,1.1
80,0050,2019,0.001,0.002,0.0
81,0050,2020,-0.002,0.002,-1.7
82,0050,2021,-0.004,0.002,-2.7
83,0050,2022,-0.062,0.0,-73.4
84,0050,2023,-0.003,0.0,-1.0
85,0053,2018,-0.151,0.0,-16.4
86,0053,2019,0.031,0.0,2.9000000000000004
87,0053,2020,0.02,0.0,1.3000000000000007
88,0053,2021,0.148,0.02,14.3
89,0053,2022,0.078,0.02,6.7
90,0054,2018,0.023,0.003,11.7
91,0054,2019,0.009,0.003,4.4
92,0054,2020,0.014,0.005,6.9
93,0054,2021,0.01,0.01,4.5
94,0054,2022,0.016,0.0,7.0
95,0054,2023,0.009,0.003,3.9000000000000004
96,0056,2018,0.012,0.006,4.7
97,0056,2019,0.006,0.005,1.9999999999999996
98,0056,2020,0.011,0.01,5.2
99,0056,2021,0.058,0.0,7.1000000000000005
100,0056,2022,0.033,0.0,7.4
101,0058,2018,0.072,0.0,3.1
102,0058,2019,0.072,0.0,2.9
103,0058,2020,0.047,0.0,1.9
104,0058,2021,0.127,0.0,5.0
105,0058,2022,0.158,0.0,6.0
106,0065,2018,0.016,0.015,13.399999999999999
107,0065,2019,0.013,0.01,9.5
108,0065,2020,0.019,0.01,11.3
109,0065,2021,0.023,0.01,13.2
110,0065,2022,0.012,0.005,6.3
111,0078,2018,0.004,0.002,5.4
112,0078,2019,0.006,0.002,7.0
113,0078,2020,0.003,0.002,3.6
114,0078,2021,0.008,0.002,8.3
115,0078,2022,-0.002,0.0,-2.4
116,0080,2018,0.009,0.0,6.4
117,0080,2019,0.011,0.0,6.5
118,0080,2020,0.005,0.0,2.7
119,0080,2021,0.006,0.0,3.5999999999999996
120,0080,2022,0.007,0.0,4.0
121,0083,2018,0.134,0.01,10.7
122,0083,2019,0.023,0.01,1.7999999999999998
123,0083,2020,0.023,0.0,1.4
124,0083,2021,-0.015,0.0,-1.8000000000000003
125,0083,2022,0.017,0.0,2.0
126,0084,2018,0.018,0.01,16.0
127,0084,2019,0.015,0.01,13.1
128,0084,2020,0.009,0.01,7.5
129,0084,2021,-0.016,0.0,-6.5
130,0084,2022,-0.011,0.0,-1.6
131,0089,2018,0.031,0.006,7.800000000000001
132,0089,2019,0.02,0.006,4.800000000000001
133,0089,2020,0.014,0.0,3.1
134,0089,2021,0.024,0.0,5.4
135,0089,2022,0.022,0.006,4.8
136,0090,2018,0.103,0.075,36.2
137,0090,2019,0.026,0.03,15.6
138,0090,2020,0.001,0.01,0.5000000000000003
139,0090,2021,0.016,0.015,10.5
140,0090,2022,0.017,0.01,10.3
141,0093,2018,-0.011,0.0,-8.4
142,0093,2019,-0.003,0.0,-2.6
143,0093,2020,-0.002,0.0,-1.2
144,0093,2021,0.07,0.02,26.5
145,0093,2022,-0.017,0.0,-7.3
146,0097,2018,0.224,0.048,27.599999999999998
147,0097,2019,0.169,0.055,17.6
148,0097,2020,0.224,0.074,19.8
149,0097,2021,0.359,0.064,25.799999999999997
150,0097,2022,0.161,0.033,19.299999999999997
151,0099,2018,0.091,0.09,30.200000000000003
152,0099,2019,0.057,0.055,20.5
153,0099,2020,0.063,0.05,21.7
154,0099,2021,0.073,0.06,24.0
155,0099,2022,0.088,0.07,28.0
156,0099,2023,0.025,0.02,7.7
157,0100,2018,0.001,0.006,1.6
158,0100,2019,0.003,0.006,1.3000000000000003
159,0100,2020,0.012,0.006,4.8
160,0100,2021,0.071,0.05,38.9
161,0100,2022,0.096,0.0,44.0
162,0100,2023,0.014,0.0,5.300000000000001
163,0101,2018,0.016,0.002,3.8
164,0101,2019,0.016,0.002,3.7
165,0101,2020,0.008,0.002,1.7000000000000002
166,0101,2021,0.012,0.002,2.6
167,0101,2022,0.024,0.003,5.2
168,0101,2023,0.004,0.0,0.8
169,0104,2018,0.1,0.0,5.800000000000001
170,0104,2019,0.143,0.05,7.5
171,0104,2020,-0.004,0.0,-1.5000000000000004
172,0104,2021,-0.097,0.0,-5.9
173,0104,2022,0.864,0.0,44.6
174,0104,2023,0.064,0.0,23.5
175,0105,2018,-0.006,0.005,-3.5
176,0105,2019,-0.011,0.0,-6.199999999999999
177,0105,2020,0.024,0.0,13.2
178,0105,2021,-0.009,0.0,-4.7
179,0105,2022,-0.005,0.0,-2.7
180,0106,2018,0.044,0.03,24.1
181,0106,2019,0.044,0.03,22.9
182,0106,2020,0.054,0.03,26.8
183,0106,2021,0.056,0.04,25.2
184,0106,2022,0.054,0.04,23.0
185,0106,2023,0.014,0.04,5.6
186,0108,2018,0.025,0.04,6.2
187,0108,2019,0.028,0.01,6.3
188,0108,2020,0.049,0.035,10.4
189,0108,2021,0.039,0.04,8.2
190,0108,2022,0.02,0.01,4.0
191,0112,2018,0.017,0.01,11.9
192,0112,2019,0.01,0.003,7.2
193,0112,2020,0.006,0.0,3.6999999999999997
194,0112,2021,0.008,0.0,5.0
195,0112,2022,0.008,0.0,4.7
196,0112,2023,0.004,0.0,2.3
197,0113,2018,0.055,0.02,16.0
198,0113,2019,0.038,0.02,12.5
199,0113,2020,0.009,0.01,3.0999999999999996
200,0113,2021,0.042,0.02,12.9
201,0113,2022,0.043,0.01,12.1
202,0120,2018,0.048,0.0,21.7
203,0120,2019,0.03,0.02,11.799999999999999
204,0120,2020,0.014,0.0,4.800000000000001
205,0120,2021,0.055,0.0,18.4
206,0120,2022,0.073,0.015,20.1
207,0126,2018,-0.3,0.0,-165.0
208,0126,2019,0.006,0.0,6.800000000000001
209,0126,2020,0.062,0.01,43.8
210,0126,2021,0.146,0.0,37.5
211,0126,2022,0.114,0.0,19.3
212,0126,2023,0.013,0.005,6.6
213,0127,2018,0.067,0.02,21.4
214,0127,2019,0.055,0.02,15.8
215,0127,2020,0.038,0.01,10.100000000000001
216,0127,2021,0.062,0.0,14.6
217,0127,2022,0.036,0.0,7.7
218,0128,2018,0.05,0.015,16.8
219,0128,2019,0.066,0.025,19.7
220,0128,2020,0.078,0.04,19.7
221,0128,2021,0.074,0.04,22.1
222,0128,2022,0.059,0.016,18.5
223,0131,2018,-0.002,0.0,-6.0
224,0131,2019,0.005,0.0,0.3
225,0131,2020,-0.008,0.004,-0.2
226,0131,2021,-0.025,0.0,-0.6
227,0131,2022,0.001,0.0,0.0
228,0131,2023,-0.0,0.0,0.0
229,0136,2018,-0.001,0.0,-0.7000000000000001
230,0136,2019,0.013,0.002,7.3999999999999995
231,0136,2020,0.016,0.0,9.3
232,0136,2021,0.016,0.0,8.7
233,0136,2022,0.014,0.0,7.1
234,0138,2018,0.036,0.019,17.9
235,0138,2019,0.088,0.025,49.9
236,0138,2020,0.077,0.022,31.0
237,0138,2021,0.064,0.013,24.0
238,0138,2022,0.042,0.002,17.9
239,0146,2018,0.012,0.0,-0.5999999999999996
240,0146,2019,0.016,0.005,10.6
241,0146,2020,0.038,0.015,22.9
242,0146,2021,0.044,0.01,15.0
243,0146,2022,0.019,0.01,13.7
244,0146,2023,0.005,0.0,3.4
245,0149,2018,0.03,0.0,6.200000000000001
246,0149,2019,0.029,0.0,5.9
247,0149,2020,0.022,0.0,4.300000000000001
248,0149,2021,0.018,0.0,3.5
249,0149,2022,0.035,0.0,6.4
250,0149,2023,0.02,0.0,3.5999999999999996
251,0151,2018,0.074,0.025,17.8
252,0151,2019,0.08,0.018,16.4
253,0151,2020,0.054,0.005,10.5
254,0151,2021,0.07,0.015,17.2
255,0151,2022,0.058,0.01,17.7
256,0155,2018,-0.044,0.0,-21.3
257,0155,2019,-0.037,0.0,-22.4
258,0155,2020,0.165,0.0,11.7
259,0155,2021,-0.04,0.0,-40.3
260,0155,2022,0.059,0.0,11.700000000000001
261,0155,2023,0.007,0.0,2.2
262,0157,2018,0.043,0.01,12.9
263,0157,2019,0.056,0.025,16.4
264,0157,2020,0.051,0.02,15.799999999999999
265,0157,2021,0.043,0.02,19.0
266,0157,2022,0.077,0.03,28.7
267,0158,2018,0.05,0.034,16.7
268,0158,2019,0.038,0.034,12.4
269,0158,2020,0.011,0.0,3.5
270,0158,2021,0.012,0.01,3.5
271,0158,2022,0.015,0.0,4.5
272,0163,2018,-0.003,0.0,-1.4999999999999998
273,0163,2019,-0.011,0.0,-6.0
274,0163,2020,0.228,0.025,65.7
275,0163,2021,0.411,0.04,53.7
276,0163,2022,-0.182,0.0,-24.700000000000003
277,0166,2018,0.112,0.084,25.2
278,0166,2019,0.06,0.052,17.3
279,0166,2020,0.048,0.044,13.3
280,0166,2021,0.1,0.11,24.8
281,0166,2022,0.107,0.1,15.9
282,0166,2023,0.029,0.026,4.1
283,0168,2018,0.04,0.018,11.3
284,0168,2019,0.052,0.02,13.6
285,0168,2020,0.045,0.018,11.1
286,0168,2021,0.043,0.018,10.2
287,0168,2022,0.033,0.018,7.2
288,0168,2023,0.012,0.0,2.7
289,0171,2018,0.018,0.0,8.3
290,0171,2019,0.02,0.0,8.4
291,0171,2020,0.017,0.01,7.0
292,0171,2021,0.02,0.0,7.9
293,0171,2022,0.011,0.0,3.9000000000000004
294,0172,2018,0.028,0.0,5.8
295,0172,2019,0.031,0.0,5.9
296,0172,2020,0.027,0.0,4.7
297,0172,2021,0.025,0.005,4.5
298,0172,2022,0.022,0.0,3.8
299,0176,2018,0.047,0.0,12.4
300,0176,2019,0.042,0.02,9.4
301,0176,2020,-0.022,0.0,-4.8
302,0176,2021,0.025,0.0,5.3
303,0176,2022,0.04,0.0,7.7
304,0176,2023,0.018,0.0,3.2
305,0179,2018,0.015,0.001,8.3
306,0179,2019,0.01,0.0,5.5
307,0179,2020,-0.038,0.0,-23.5
308,0179,2021,-0.001,0.0,-0.5
